run_name,epoch,total_epochs,train_loss,val_loss,val_iou,val_f1,val_precision,val_recall
em_segformer_baseline,1,10,0.4716,0.3322,0.8199,0.9011,0.9388,0.8663
em_segformer_baseline,2,10,0.2835,0.2545,0.8704,0.9307,0.9608,0.9024
em_segformer_baseline,3,10,0.2095,0.2082,0.8863,0.9397,0.9797,0.9029
em_segformer_baseline,4,10,0.1789,0.1622,0.9166,0.9565,0.9596,0.9534
em_segformer_baseline,5,10,0.153,0.1407,0.9289,0.9631,0.968,0.9583
em_segformer_baseline,6,10,0.1394,0.1343,0.9332,0.9654,0.9633,0.9676
em_segformer_baseline,7,10,0.1272,0.1277,0.9319,0.9648,0.9731,0.9566
em_segformer_baseline,8,10,0.1173,0.1187,0.9367,0.9673,0.9703,0.9643
em_segformer_baseline,9,10,0.1152,0.1218,0.9335,0.9656,0.9705,0.9607
em_segformer_baseline,10,10,0.1088,0.1151,0.9359,0.9669,0.9805,0.9536
em_segformer_finetune,1,20,0.5492,0.4192,0.7621,0.865,0.9456,0.797
em_segformer_finetune,2,20,0.3741,0.32,0.8402,0.9131,0.9547,0.875
em_segformer_finetune,3,20,0.2886,0.2575,0.8705,0.9308,0.9572,0.9058
em_segformer_finetune,4,20,0.2419,0.2134,0.897,0.9457,0.9624,0.9295
em_segformer_finetune,5,20,0.2097,0.1918,0.9071,0.9513,0.9599,0.9429
em_segformer_finetune,6,20,0.1847,0.1668,0.9166,0.9565,0.9717,0.9418
em_segformer_finetune,7,20,0.1677,0.1556,0.9199,0.9583,0.9721,0.9448
em_segformer_finetune,8,20,0.1579,0.1547,0.9194,0.958,0.9778,0.9391
em_segformer_finetune,9,20,0.1435,0.1535,0.9151,0.9557,0.9817,0.931
em_segformer_finetune,10,20,0.1346,0.1324,0.9344,0.9661,0.9665,0.9656
em_segformer_finetune,11,20,0.1276,0.1314,0.9302,0.9638,0.9707,0.9571
em_segformer_finetune,12,20,0.1216,0.1232,0.9376,0.9678,0.9746,0.9611
